28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,4.0,12.0,20.0,28.0,28.0,28.0,28.0,28.0,28.0

4.0,24.0,30.0,30.0,26.0,20.0,24.0,24.0,24.0,36.0,38.0,34.0,44.0,34.0,26.0,22.0,24.0,32.0,26.0
24.0,28.0,24.0,26.0,44.0,38.0,30.0,24.0,26.0,26.0,34.0,20.0,34.0,24.0,26.0,26.0,24.0,24.0,26.0
20.0,18.0,12.0,24.0,12.0,10.0,34.0,12.0,14.0,14.0,20.0,10.0,28.0,8.0,4.0,24.0,22.0,24.0,14.0
20.0,12.0,24.0,26.0,16.0,12.0,32.0,8.0,16.0,10.0,26.0,18.0,24.0,14.0,12.0,22.0,16.0,14.0,16.0
8.0,8.0,10.0,12.0,12.0,10.0,12.0,12.0,14.0,10.0,10.0,12.0,14.0,8.0,12.0,16.0,18.0,20.0,16.0
16.0,20.0,14.0,20.0,16.0,20.0,16.0,20.0,18.0,12.0,18.0,20.0,20.0,26.0,28.0,24.0,20.0,26.0,26.0
16.0,18.0,22.0,14.0,22.0,24.0,18.0,10.0,24.0,22.0,24.0,24.0,30.0,26.0,22.0,14.0,26.0,26.0,18.0
16.0,12.0,20.0,32.0,30.0,26.0,30.0,30.0,28.0,24.0,18.0,26.0,18.0,26.0,28.0,30.0,28.0,20.0,18.0
18.0,36.0,38.0,50.0,50.0,36.0,44.0,26.0,24.0,24.0,18.0,34.0,42.0,44.0,34.0,32.0,34.0,34.0,34.0
38.0,30.0,32.0,36.0,34.0,40.0,38.0,36.0,40.0,30.0,32.0,28.0,16.0,40.0,24.0,28.0,32.0,42.0,38.0
12.0,20.0,24.0,24.0,20.0,26.0,24.0,18.0,22.0,18.0,22.0,22.0,18.0,24.0,26.0,20.0,26.0,22.0,22.0
28.0,20.0,28.0,22.0,4.0,20.0,22.0,24.0,22.0,20.0,24.0,24.0,18.0,20.0,14.0,24.0,18.0,26.0,16.0
26.0,14.0,20.0,16.0,12.0,12.0,20.0,20.0,16.0,10.0,12.0,16.0,10.0,12.0,12.0,18.0,12.0,26.0,16.0
12.0,12.0,12.0,16.0,22.0,16.0,12.0,22.0,12.0,18.0,16.0,14.0,14.0,26.0,12.0,14.0,16.0,18.0,24.0
28.0,16.0,22.0,16.0,12.0,24.0,18.0,26.0,22.0,24.0,28.0,30.0,22.0,22.0,20.0,26.0,18.0,18.0,20.0
20.0,22.0,18.0,24.0,20.0,22.0,28.0,30.0,32.0,32.0,20.0,18.0,22.0,26.0,32.0,28.0,32.0,28.0,20.0
18.0,20.0,12.0,14.0,4.0,12.0,14.0,4.0,12.0,12.0,10.0,6.0,16.0,28.0,4.0,14.0,20.0,24.0,22.0
12.0,26.0,10.0,26.0,22.0,18.0,30.0,26.0,20.0,14.0,26.0,26.0,12.0,22.0,22.0,8.0,18.0,8.0,34.0
18.0,16.0,12.0,16.0,12.0,14.0,12.0,18.0,20.0,10.0,16.0,14.0,12.0,18.0,22.0,24.0,20.0,16.0,10.0
24.0,12.0,20.0,12.0,22.0,20.0,16.0,20.0,24.0,14.0,12.0,30.0,20.0,16.0,14.0,20.0,22.0,18.0,14.0
