Start,,,,,,,,,
0.04,0.04,0.04,0.04,0.145,0.12,0.12,,,
0.105,0.105,0.11,0.11,0.04,0.04,,,,
0.04,0.04,0.16,0.145,0.16,0.16,,,,
0.085,0.075,0.05,0.04,0.04,0.04,0.04,,,
0.04,0.04,0.145,0.125,0.14,0.14,0.13,,,
0.11,0.12,0.105,0.1,0.105,0.095,0.095,,,
0.04,0.045,0.05,0.11,0.105,,,,,
0.105,0.135,0.105,0.105,0.13,,,,,
0.095,0.04,0.055,0.08,0.09,0.095,,,,
0.04,0.045,0.04,0.15,0.16,0.175,0.175,,,
0.04,0.04,0.04,0.04,0.14,0.12,,,,
0.04,0.04,0.04,0.06,0.055,0.055,0.055,0.055,,
0.12,0.13,0.11,0.04,0.04,0.04,,,,
0.04,0.04,0.145,0.17,0.17,0.16,0.14,,,
0.19,0.125,0.105,0.13,0.095,0.095,0.095,,,
0.04,0.08,0.08,0.075,0.04,0.04,0.04,,,
0.04,0.04,0.04,0.04,0.04,0.115,0.11,0.105,0.105,
0.095,0.075,0.075,0.075,0.075,0.075,0.075,0.075,,
0.11,0.13,0.04,0.04,0.04,,,,,
0.04,0.04,0.04,0.04,0.17,0.155,0.125,0.14,,
0.04,0.11,0.105,0.04,0.04,0.04,0.04,,,
0.125,0.12,0.04,0.04,0.12,0.12,0.13,0.04,0.04,
0.04,0.11,0.1,0.085,0.05,0.065,,,,
0.085,0.09,0.11,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.13,0.17,0.04,0.04,0.04,0.04,0.04,0.105,0.115,
0.04,0.04,0.105,0.165,0.145,0.13,,,,
0.105,0.105,0.115,0.12,0.095,0.095,0.1,0.115,,
0.09,0.075,0.085,0.045,0.055,0.03,,,,
0.04,0.04,0.11,0.115,0.11,0.115,0.115,0.115,,
0.095,0.12,0.13,0.135,0.13,0.13,0.13,0.13,,
