Start,,,,,,,,,,,
0.085,0.085,0.09,0.08,0.105,0.1,0.1,0.11,0.105,0.105,0.11,0.08
0.115,0.175,0.155,0.14,0.155,0.14,0.14,0.14,,,,
0.26,0.3,0.31,0.315,0.31,0.26,,,,,,
0.04,0.04,0.04,0.04,0.09,0.1,0.095,0.085,0.1,0.095,,
0.04,0.08,0.135,0.155,0.16,0.15,0.11,0.08,0.06,,,
0.04,0.09,0.13,0.13,0.105,0.055,0.065,,,,,
0.04,0.065,0.085,0.125,0.105,0.095,0.065,0.04,,,,
0.04,0.04,0.04,0.12,0.125,0.15,0.18,0.185,0.165,0.185,0.155,0.12
0.04,0.04,0.105,0.135,0.16,0.175,0.17,0.17,0.155,0.105,,
0.165,0.165,0.145,0.155,0.15,0.185,0.185,0.16,0.16,,,
0.095,0.18,0.195,0.16,0.21,0.155,0.07,,,,,
0.04,0.105,0.19,0.185,0.185,0.22,0.165,0.155,0.19,0.04,,
0.04,0.08,0.07,0.085,0.1,0.15,0.15,0.165,0.165,,,
0.04,0.04,0.105,0.19,0.2,0.215,0.2,0.195,,,,
0.195,0.335,0.325,0.335,0.34,0.285,,,,,,
0.11,0.12,0.15,0.145,0.135,0.095,0.095,0.095,,,,
0.1,0.125,0.15,0.17,0.135,0.13,,,,,,
0.23,0.275,0.29,0.28,,,,,,,,
0.04,0.04,0.08,0.09,0.12,0.12,0.12,0.115,,,,
0.22,0.25,0.225,0.23,0.24,0.24,,,,,,
0.04,0.12,0.12,0.1,0.085,0.11,0.13,0.125,0.14,0.1,,
0.25,0.24,0.23,0.17,0.13,0.125,0.07,,,,,
0.115,0.13,0.12,0.11,0.15,0.12,0.095,0.095,,,,
0.065,0.06,0.08,0.12,0.125,0.12,0.1,,,,,
0.04,0.1,0.115,0.19,0.17,0.19,0.235,0.235,0.245,0.265,,
0.06,0.09,0.13,0.17,0.24,0.23,0.28,0.275,0.305,0.245,0.17,
0.095,0.155,0.29,0.315,0.33,0.3,0.19,0.04,,,,
0.1,0.08,0.12,0.095,0.15,0.1,0.115,0.115,0.085,0.06,,
0.13,0.19,0.195,0.205,0.195,0.13,,,,,,
0.11,0.165,0.235,0.23,0.285,0.3,0.245,0.235,0.24,0.21,,
