Start,,,,,,,,,,,,,,,
0.04,0.09,0.09,0.04,0.04,0.04,0.04,0.04,0.04,,,,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.11,0.1,,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.105,0.135,0.135,0.135,0.135,,,,
0.04,0.04,0.18,0.19,0.185,0.2,0.04,0.04,0.04,0.04,0.04,,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.215,0.19,0.19,0.195,,,,
0.04,0.265,0.345,0.345,0.345,0.345,,,,,,,,,,
0.185,0.24,0.235,0.18,0.055,0.075,0.09,0.075,,,,,,,,
0.155,0.215,0.2,0.175,0.23,0.235,0.21,0.2,0.125,0.115,0.105,0.05,,,,
0.04,0.045,0.04,0.045,0.335,0.335,0.36,0.355,0.365,0.365,0.39,0.425,0.375,0.415,0.405,
0.275,0.285,0.285,0.305,0.25,0.055,0.05,0.04,,,,,,,,
0.065,0.025,0.055,0.045,0.05,0.04,0.335,0.395,0.38,0.38,0.4,0.375,,,,
0.395,0.395,0.385,0.395,0.385,0.38,0.36,0.375,,,,,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.135,0.16,0.145,,,,,
0.04,0.04,0.04,0.04,0.04,0.21,0.19,0.19,0.195,0.21,,,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.275,0.295,0.315,0.325,,,
0.04,0.04,0.35,0.36,0.345,0.345,0.345,0.34,0.335,,,,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.265,0.245,0.255,0.245,0.25,,,
0.04,0.355,0.365,0.365,0.37,0.38,0.36,,,,,,,,,
0.04,0.025,0.025,0.03,0.03,0.235,0.215,0.215,0.055,0.045,,,,,,
0.05,0.035,0.06,0.12,0.175,0.165,0.185,0.06,0.05,0.035,,,,,,
0.055,0.06,0.06,0.06,0.075,0.055,0.055,0.055,0.07,0.055,0.235,0.23,0.215,0.22,0.24,
0.375,0.395,0.385,0.4,0.39,0.41,0.405,,,,,,,,,
0.055,0.06,0.08,0.045,0.045,0.025,0.245,0.28,0.295,0.335,0.275,0.3,0.315,0.29,,
0.28,0.305,0.305,0.305,0.31,0.315,0.355,0.33,0.335,,,,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.22,0.24,0.24,0.24,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.255,0.27,0.27,0.27,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.275,0.295,0.3,0.315,0.355,0.205,0.2
0.04,0.04,0.25,0.255,0.265,0.265,0.28,,,,,,,,,
0.04,0.04,0.04,0.045,0.24,0.26,0.27,0.27,0.27,0.265,0.3,0.245,0.28,0.245,,
0.04,0.4,0.475,0.46,0.44,0.46,0.46,,,,,,,,,
0.03,0.06,0.04,0.07,0.06,0.275,0.275,0.28,0.28,,,,,,,
0.04,0.04,0.03,0.04,0.04,0.395,0.405,0.4,0.05,0.045,0.04,,,,,
0.05,0.05,0.055,0.055,0.29,0.255,0.285,0.265,0.245,0.25,0.255,,,,,
0.33,0.34,0.325,0.295,0.215,0.04,0.035,0.04,0.04,0.04,,,,,,
0.075,0.06,0.05,0.045,0.04,0.28,0.28,0.27,0.265,0.285,0.3,0.285,0.285,,,
0.38,0.395,0.405,0.4,0.38,0.38,0.375,,,,,,,,,
