Start,,,,,,,,
0.1999999,0.155,0.08500001,0.035,,,,,
0.08000001,0.12,0.18,0.045,,,,,
0.08500001,0.11,0.08500001,0.105,0.1,,,,
0.04,0.04,0.04,0.2199999,0.2349999,0.2449999,,,
0.075,0.1,0.11,0.08500001,,,,,
0.035,0.09500001,0.09500001,0.09500001,0.09500001,0.09500001,,,
0.065,0.08500001,0.055,0.045,0.2849999,0.3149998,0.3399998,,
0.1150004,0.07500033,,,,,,,
0.03,0.03,0.03,0.03,0.03,0.135,,,
0.135,0.09000001,0.08000001,0.035,,,,,
0.06999999,0.06999999,0.06999999,0.06999999,0.06999999,0.18,0.195,0.195,0.115
0.09500001,0.04,0.04,0.075,0.04,0.06499999,,,
0.2899999,0.2899999,0.2849999,,,,,,
0.08000001,0.05999999,0.05999999,0.04499999,,,,,
0.04,0.045,0.045,0.045,,,,,
0.04,0.04,0.2249999,0.2449999,0.19,,,,
0.04,0.05499999,0.2199999,0.205,0.08500001,0.055,,,
0.09500001,0.16,0.145,0.17,0.2249999,0.2499999,,,
0.135,0.125,0.145,0.13,,,,,
0.205,,,,,,,,
0.12,0.11,,,,,,,
0.04,0.17,0.2349999,0.155,0.055,,,,
0.045,0.05499999,0.085,0.04499999,0.04999999,0.14,0.2649999,0.2699999,
0.115,0.17,0.115,,,,,,
0.125,0.055,0.09000001,,,,,,
0.05999998,0.05999998,0.06999999,0.06999999,0.11,0.2449999,0.3149998,0.185,
0.08500001,0.05499999,0.05499999,,,,,,
0.1,0.09000001,0.05,0.055,0.16,0.15,,,
0.07,0.035,0.03,0.09500001,,,,,
0.2549999,,,,,,,,
0.1,0.135,0.155,0.18,0.115,,,,
0.075,0.075,0.08500001,0.04,0.17,0.2149999,0.2349999,,
0.145,0.09500001,0.1,0.075,0.055,,,,
0.04,0.04,0.09500001,0.12,0.105,,,,
0.04,0.04,0.155,0.15,0.175,0.2199999,,,
0.115,0.05,0.135,0.17,0.09000001,,,,
0.04,0.125,0.125,0.14,0.09000001,0.09000001,,,
0.165,0.09500001,0.09500001,0.08500001,0.105,,,,
