ID,p1,p2,p3,height,width,Gy
1,0,0,0,3.1125,1.2,1.63635
2,45,45,45,3.0625,1.7375,1.99835
3,90,90,90,2.6625,2.7,1.4239
4,135,135,135,2.9125,1.7375,1.3644
5,180,180,180,3.0625,2.55,1.6351
6,90,0,0,2.825,2.9375,1.6577
7,90,45,0,2.775,3.4125,1.70695
8,90,90,0,2.8125,2.875,1.6181
9,135,45,45,3.3625,3.825,1.5909
10,135,90,45,3.0375,3.6,1.4996
11,135,135,45,2.8,2.6625,1.7222
12,180,90,90,3.5375,3.4125,1.6158
13,180,135,90,3.2875,3.6875,1.59075
14,180,180,90,2.725,3.425,1.7431
15,180,90,0,3.3625,3.3375,1.71235
1,0,0,0,2.2625,2.225,1.23375
2,45,45,45,2.275,1.5875,1.55395
3,90,90,90,2.6375,1.4875,1.3428
4,135,135,135,2.925,2.3875,1.42055
5,180,180,180,2.9125,2.35,1.39355
6,90,0,0,1.725,2.075,1.0955
7,90,45,0,2.4625,2.55,1.7701
8,90,90,0,2.5375,2.5,1.3089
9,135,45,45,2.125,2.4625,1.15255
10,135,90,45,2.5125,2.4,1.25835
11,135,135,45,3.0625,1.9625,1.4803
12,180,90,90,3.025,2.675,1.5107
13,180,135,90,2.9375,3.75,1.50265
14,180,180,90,3.125,2.65,1.4666
15,180,90,0,2.7875,2.5125,1.4002
1,0,0,0,2.85,2.7375,0.9414
2,45,45,45,3.35,3,1.29695
3,90,90,90,3,3.175,1.8547
4,135,135,135,2.625,2.575,1.5528
5,180,180,180,3.6625,2.9875,1.8308
6,90,0,0,2.8625,3.0625,1.92045
7,90,45,0,2.875,2.7625,1.5162
8,90,90,0,2.8625,2.7625,1.6376
9,135,45,45,3.6875,3.025,1.7413
10,135,90,45,3.05,3.2375,1.6892
11,135,135,45,2.6625,2.9875,1.7316
12,180,90,90,2.975,2.9375,1.89445
13,180,135,90,3.3125,3.8125,1.9223
14,180,180,90,3.3625,3.7125,1.8169
15,180,90,0,3.1,3.15,1.7766
1,0,0,0,1.7125,3.3,0.78575
2,45,45,45,2.2875,4.175,1.06235
3,90,90,90,2.325,4.5125,1.0294
4,135,135,135,1.7,4.8375,0.83305
5,180,180,180,2.5625,4.975,1.329
6,90,0,0,1.7125,4.7625,0.8122
7,90,45,0,2.2875,4.1625,1.30675
8,90,90,0,3,3.7625,1.20925
9,135,45,45,2.6875,3.225,1.32355
10,135,90,45,2.125,3.0125,1.15875
11,135,135,45,2.1875,4,1.21355
12,180,90,90,2.6125,3.55,1.59145
13,180,135,90,2.9625,2.55,1.49245
14,180,180,90,2.8375,3.3,1.70485
15,180,90,0,2.775,2.9625,1.3587
1,0,0,0,1.9625,2.25,1.19565
2,45,45,45,1.8625,3.15,0.99215
3,90,90,90,2.725,1.7375,1.30925
4,135,135,135,2.425,2.375,1.2642
5,180,180,180,2.875,2.925,1.6242
6,90,0,0,2.875,2.9375,1.331
7,90,45,0,2.2125,2.4875,1.065
8,90,90,0,1.575,1.75,0.70865
9,135,45,45,2.075,2.375,1.11835
10,135,90,45,2.1,2.2625,1.02275
11,135,135,45,1.725,2.5375,0.85075
12,180,90,90,2.325,4.1375,1.275
13,180,135,90,2.35,3.7125,1.0414
14,180,180,90,2.575,2.55,1.16205
15,180,90,0,2.725,3.025,1.4923
1,0,0,0,2.4375,0.6875,1.22815
2,45,45,45,2.8125,1.25,1.4246
3,90,90,90,3.2375,1.85,1.56
4,135,135,135,3.275,3.275,1.6112
5,180,180,180,3.6375,3.175,1.8214
6,90,0,0,2.6125,1.4625,1.14905
7,90,45,0,2.975,2.0625,1.4706
8,90,90,0,2.7875,2.3875,1.3766
9,135,45,45,3.575,2.3875,1.77735
10,135,90,45,3.3625,2.1,1.709
11,135,135,45,3.05,2.5,1.49795
12,180,90,90,2.95,3.4375,1.4921
13,180,135,90,2.8125,3.4375,1.43585
14,180,180,90,2.7875,2.425,1.41505
15,180,90,0,3.1875,3.7625,1.54295
1,0,0,0,1.4375,5.9,0.9951
2,45,45,45,3.4625,6.2875,1.9264
3,90,90,90,5.95,3.0125,4.189
4,135,135,135,6.2625,3.5625,3.209
5,180,180,180,6.0375,3.4625,2.9673
6,90,0,0,5.45,3.05,2.5527
7,90,45,0,7.05,4.1,3.22675
8,90,90,0,4.6875,3.6625,2.7308
9,135,45,45,4.725,5.475,3.32625
10,135,90,45,6,4.9625,2.90255
11,135,135,45,3.9125,5.3875,1.8965
12,180,90,90,6.775,2.7125,3.64255
13,180,135,90,5.55,4.6,2.775
14,180,180,90,6.9,4.325,3.2791
15,180,90,0,4.5375,7.4625,2.25745
