,p1,p2,p3,hd,wd,hu,wu
12,180,90,90,100.0002,60.00001,127.5002,380.0002
3,90,90,90,100.0002,50.00053,187.5001,275.0003
9,135,45,45,142.5002,50.00053,67.50024,547.5001
13,180,135,90,142.5002,25,117.5002,315.0003
6,90,0,0,107.5,425.0002,90.00021,42.50053
7,90,45,0,150.0002,457.5002,40,32.50052
1,0,0,0,55.00023,112.5005,264.9998,77.49999
15,180,90,0,110.0002,35,252.4999,262.5003
4,135,135,135,150.0002,35.00052,50.00023,455.0002
8,90,90,0,137.5002,30.00052,27.50022,485.0001
10,135,90,45,177.5001,30.00052,42.5,592.5001
2,45,45,45,62.50001,97.5005,97.50021,517.5001
